phrase,context,sentiment
mushroom foragers,A delightful tour of the many gastronomic pleasures Quebec has to offer.... Julian Armstrong has written about food for the Montreal Gazette for more than five decades. As soon as I heard about this book  I knew it was the one for me I studied abroad for two summers in a French immersion program at Universite Laval in Quebec City and majored in French with an emphasis on Quebec Studies  so La Belle Province has a huge place in my heart. Quebec is a huge land area with great diversity in its landscape and people some regions are famous for certain products (the nickname “bleuets ” blueberries  is given to people from the Lac-St-Jean area as they grow large amounts of the fruit). Quebec also produces many excellent raw milk cheeses (which are under strict control in other provinces) and maple syrup. Its culinary heritage is strongly influenced by hearty French cuisine preferred by trappers and fur traders. “Made in Quebec” is the author’s second cookbook focusing on the cuisine of Quebec here she spent several years interviewing cheese makers  mushroom foragers  chefs and farmers  salt cod fishermen  fruit scientists and growers. The book is divided by season and include both staples (poutine  tourti&egravere  tarte au sucre  pate chinois) and modern interpretations of traditional flavours. I loved the simple  delicious vegetarian options like the gorgeous Tarte aux tomates confites au sirop d’&eacuterable et cru du clocher (Tomato Tarts with Maple Syrup) on the cover in addition to many lamb and pork dishes  there are many fish- and veggie-based dishes to enjoy. The desserts in particular are spectacular.,1
settings are not perfect,lively stones. Opals come in many different looks.  I love a white stone with plentiful but subtle fire.  The is IT.  Like others have said  the settings are not perfect  but the earrings  somewhat dainty but lovely  are beautiful.  OK  I bought them for myself--for Santa to put in y stocking  but I love them.  And I think the price is veery good.,0
Highly recommend,Nothing compares with ZZZQuil!. I have been suffering for neck and shoulder pain for years now. Getting and staying asleep has been a struggle until I found ZzzQuil. Might cost a little more than generic brands but in this case you truly get what you pay for.  This sleep aid contains acetaminophen so it allows me to alleviate pain while it coaxes me gently to sleep. I haven't been sleeping this well in years. Highly recommend for anyone who finds their sleep patterns disrupted because of pain.,1
no room,I love the quality of this. This sounds amazing  and it is a good beginer's tool  but it is huge.  I did not pay enough attention to the dimensions when I bought it.  I have literally no room for this to just stand by to use  so I must put it away after every use along with my stand for it.  I does sound great though--I only wish that it had some kind of sensors in the keys so as to tell how hard you used them...sigh  guess you can't have everything at a reasonable price point.,0
soaked with the removal solution,Very nice makeup removal pads. These are nice makeup removal pads. You get a jar with 70 of these pads that are soaked with the removal solution. And of course when you are done there is some of that solution on the bottom that you can use with regular cotton pads. These makeup pads are very nice and work well. The removal solution is very gentle  probably because it includes cica solution in it as well as some vitamins and other good ingredients.  They smell very good and I found are gentle enough to use around the eyes. I had no issues removing foundation  lipsticks are eye makeup. All in all I am very happy with these. The price is rather reasonable too at $12 for 70 of these pads. I think these should be good for sensitive people except may the fragrance that is fairly strong but pleasant. But since these are gentle enough to use around the eyes they should be good for sensitive skin.,1
amazing musical bang for your buck,The one single-disc Billy Joel hits set you really need. Hands down  far and away  this is the best single-disc Billy Joel collection you're going to find.  Anywhere  anytime.  The Hits is aptly named:  The hits and nothing but the hits  all killer and no filler.  Will it miss a favorite or two of yours?  Very likely.  Will it still pack an amazing musical bang for your buck?  Absolutely!  The ideal collection for the casual fan who doesn't care to collect a lot of albums and non-hits.  Also  an ideal set for the bigtime fan who wants a single hits disc for when they have a sudden urge to get into Billy's big ones  and nothing but the big ones.  A full Five Stars and very highly recommended.,1
cups of coffee,Don't bother. Got 3 cups of coffee from each bag of beans. Not worth the money.,1
makes his coat shiny,Great Idea and works Amazingly. This is so awesome....wish I would of found it earlier.  I have recommended it to all my friends.  Just two pumps and I rub it into his fur.  It smells amazing and makes his coat shiny and he seems to itch less too....a great solution for in-between baths....love it,1
delivered to my door for a very fair price,campbells tomato soup. Was having getting a few things like this at the store lately - virus hoarding - but I was happy to get it delivered to my door for a very fair price.  Campbells tomato soup is a staple in the comfort food department to me personally.  I use milk when I make it - extra rich with added protein.,1
falls apart easily,Good idea  not at all sturdy. This is not sturdy. Falls apart way too easily. A light blanket is not even able to be held up with it. Any little bump breaks it apart. Such a great idea  but needs to be much stronger to function.,0
love this lip primer,So Fabulous!. Of course  I love Tréstique  but I especially love this lip primer!  It’s not chalky nor sticky  but provides a great priming for Tréstique lipsticks.  I like the primer so much that I purchased them for all of my Tréstique lippies  as opposed to balm that comes with the glosses.  It gives your lipstick longevity and allows for fullest pigment payoff!,1
believing in yourself,"A moving modern-day NZ fable.. Niki Caro's ""Whale Rider"" (based on the novel by Witi Ihimaera) is an uplifting tale of tradition and inner strength. Twelve-year-old Pai (talented newcomer Keisha Castle-Hughes) lives with her grandparents in a rural New Zealand town. Pai's mother and twin brother died in childbirth  and her artist father took off for Europe  where he now has a new (pregnant) girlfriend. Pai's brother was supposed to be the next chief of her tribe  and with his death Pai's grandfather Koro searches for a new (male) leader  failing to see that it is Pai that possesses the courage and talents of a chieftain. The movie is filled with a haunting soundtrack by Dead Can Dance's Lisa Gerrard  including samples of traditional Maori music by Hirini Melbourne. The cinematography beautifully captures the many moods of light and shadow on mountains and sea  as well as stock footage of majestic whales. ""Whale Rider"" is an uplifting tale of love  loss  and courage  about tradition in the face of change  and believing in yourself.",1
a little on the thin side,These are cute and soft. These are comfortable  cute and fit as expected.  They washed well and didn't fade.  They are a little on the thin side  but still a nice set of pajamas.,0
no mess in the package,Perfect condition on arrival. Super cute  it was healthy and no mess in the package.,1
smart idea,Space savers. 1st of all I love the fact that these are acrylic And not glass. I really don't like using glass in picture frames because they break if they fall off the wall or if someone knocks them over on the table. You can display these Either up and down or sideways depending on the picture. They look nice next to each other in any pattern. Very smart idea.,1
looks expensive and cool,does not look like a water shoe. purchased these for my husband  for the beach  does not look like a water shoe  nice looking can be worn with anything. It is soft  it would make a excellent house slipper for someone  it said women  but a men with shoe size 81/2 can wear a women size 10. It look unisex  never told my husband it was a women show. I would recommend it highly. Looks expensive and cool.,1
I also use it on my lower back,Fantastic product!. Works well on joints for arthritis!  I keep RELM on hand all the time…I also use it on my lower back…👍🏻,1
not natural fabric but rather composite material,save yourself a trip to the gas station. hat comes sealed and never worn  good fit for an average male head... can be tightened from there  only gripe is it's not natural fabric but rather composite (and likely flamable) material,0
Eyeko liquid liner,The $50-90 value is questionable....but I am going to keep subscribing.. Feb. 2018 box included: Full - Cle Essence Moonlighter Cushion Full - Skinfix minty mint lip Sample - Youth to the People Moisture cream Sample - Juice Beauty liquid lip Sample - Tarte Tareist Mascara Rate 3/5  March 2018 box included Full - bonvivant Botanical Mask Sample - Klorane Shampoo Sample - Red Flower body lotion Sample - Eyeko liquid liner Sample - Eau Thermale Avene hydrating cream Sample - Bvlgari omnia perfume Rate: 1/5,0
bad design,Another bad design.. Forget it! It does nothing like stated. Just gets in the way!,0
leans dry,"this is a medium tint- definitely gives sun kissed glow  absorbs well  hydrates  non greasy. Oops! I didn't realize when I ordered this that it says  ""medium"" in the product description  which is what I assume is the level of tint as this is a tad dark for my very fair skin. I don't see an option for any other tint level  so this might be it. Medium-- which appears rather dark and warm directly out from bottle  BUT after it is applied it seems to just blend in- albeit just a hint of color-- not opaque like a foundation. I am surprised it blended in as much as it does as my skin is quite fair & pink  with cool undertones. Still  I likely won't use this by itself. It blends in  but it gives me a slight tanned look  ""a sun kissed glow"".  Tells me that with sweat or uneven application I could have trouble with resulting look. My plan is to mix it in with one of my sunscreens that have a greater white cast..  This is a physical (ie mineral) sunscreen  using zinc oxide. Physical Sunscreens work by sitting on top of the skin to deflect and scatter damaging UV rays away from the skin (whereas chemical sunscreens absorb rays  converts them to heat  then releases). They are often referred to as physical blockers. The benefit of using zinc oxide is its strength in protecting your skin against the sun. It is one of the most effective sun protectors available  blocking out both short and long UVA rays and all UVB rays. Either type is great  and it depends on what works best with  your skin.  This product is rated as having a BROAD SPECTRUM sun protection factor of 31 (you want anything over 25). There are some other delicious  skin loving  ingredients contained in this product such as shea butter  jojoba  oilve oil  and vitamin e. It comes out thin  and applies smoothly. It provides a light sheen which you may or may not like. Not greasy. It absorbs well. I really like the multi action sunscreens. While I wear sunscreen all year round  and I have elaborate skin care routines.. I tend to keep it super simple in the summer. I tend to forgo my morning skin care ritual for just sunscreen (I figure I will be reapplying often  sweating it off  etc.. so why waste other skin care goodies when I can find a decent SPF product that will also moisturized my skin). So with this having ingredients that are good for my skin and help keep it moisturized  I feel better about keeping it so simple.  Again  I would like it better if the tint was a better match. That is on me that I didn't notice the ""medium"" in the description. And it also says that it gives skin a ""sun kissed glow"". If that is at all appealing to you  then give this a try. If your skin is anything darker or warmer than cool  fair skin.. then give this a try. There is NO WHITE cast  at all. If your skin is real oily  then this may be too much for you.. not sure. It feels goo on my normal to dry skin seems to absorb. It doesn't feel heavy  and it doesn't feel like... sunscreen. It is light.  My skin: mid 40s  leans dry  semi sensitive  non-acne Rosacea (redness  visible veins)  I avoid sun-- I always use SPF all year  and often wear a hat or visor. My favorite skin care is sunscreen. If I use nothing else  it is sunscreen that I keep in my routine. I go through a lot  and try a lot.. if I don't like it for my face & neck  then it gets used on rest of body. This is a new brand for me to try  and so far I like it (even though I have to tone it down by adding it to  one of my more white cast sunscreens.. OR go for the sun kissed glow).  I hope this helped . I will be back to update if I learn anything new  or think of anything else.",1
cheaper than my usual Centrum formula,Great daily vitamin for the older woman's body!. This is my new favorite daily vitamin. Totally Vegan  easy to swallow and fills all the daily requirements of my 60+aged body. I have a tendency to skip breakfast most days a week and this vitamin agrees with an empty stomach (no aftertaste  burping  or unpleasant stomach rumblings). This is a lot cheaper than my usual Centrum formula so Amazon has once again turned me away from name brands and over to their store brand names. I highly recommend for any woman over age 40 who cares about their health!,1
gives the illusion of smooth skin,Not For Me. This product by Dermelect was not what I expected. After trying it for a few days  I've decided it's not really for me. I'm in my mid 50's now  but I don't really have any forehead lines. I guess that's good that I don't! I couldn't really figure out where I would benefit from using it. The description was kind of vague as to what it was. It's not to be massaged into the skin. It basically fills in your wrinkles and gives the illusion of smooth skin. I like the way it feels which I attribute to the dimethicone .,1
hand-painted/handmade,Two-toned delight!. These two toned faux hammered earrings are delightful. These are turquoise (smooth) and copper colored (hammered). They are hand-painted/handmade. The posts are stainless steel and nickel free. I have sensitive skin and didn’t notice any irritation or redness. While the packaging is simple  I did like that it included a “thank you” label on the box. These earrings are very classy and can be worn everyday. Overall  these are some cute earrings for under $16.,1
not really bright enough to use as a pathway light,mason jar lights. These are just the lids and lights... NO JARS.  I knew this going in  so I purchased my own jars and some polished rocks to use as weights - we have rambunctious ground squirrels.  I also purchased  separately  &#34stainless steel&#34 handles as we live on the ocean front in Oregon.  The handles were a bit of trick to get on the jar - it works best if you &#34screw&#34 them on  like a lid sort of.  I sort of twirled the lights so they hung down as a swirl down the center of the jar and then screwed the lids onto the jars.  They charge in the day  come on at dusk and mostly stay on all night long.  A couple I notice don't.. but I was only hoping for a few hours - so I'm good with this.  They are not really bright enough to use a path way light - but they are bright enough to be a very pretty decoration.  I ordered a dozen  but went back for a third set as my very determined squirrels did manage to shatter one by knocking it off even with rocks for weights!  My Mom loved them  so I let her take three of them.  She has them in her window sill  inside.  They work nicely there too.  As long as they get sun to charge  it's good.  Now  I will say  that the rings have become to rust.  I haven't tried to pop out the light portion and put a new ring on  but I may try this after the summer season is over.  All work.  I had NO failures.  Some don't last through the night  even though they have exactly the same sun exposure - but still  last for hours.  I do recommend putting something in the jars for weights even if you don't have sassy squirrels like we do as they will likely stay put better.  ..As I said I used polished rocks.. but you could use glass beads or marbles or shells that heavy or packaged sand (because its dry - don't get it off the beach) really anything that would provide weight and you can fit into the canning jar. All in all  I really like these lights... just wish the rings were more resistant to rust! They would make beautiful wedding decor  or other party decor  or individually as gifts with special inserts (weights).  My Mom adores hers.  I never hesitate to update my reviews should new info seem useful. If I decided to try and replace the rings I will post how that went.  And I hope this info was helpful to you in some way. UPDATE 8/14/2018.... I have added some photos that might be helpful - while the outer rings have rusted... eh... they are outside.. we are oceanfront (although they would rust outdoors anywhere) -  I consider the rust &#34patina&#34  ... I may not attempt to replace the rings until they are not functional anymore - a couple seasons?? I DO recommend the separate purchase of the handles.  They make the jars a lot easier to move around. Hope this is helpful to you!,1
ink cartridge,Great clear pictures. Last 100 yrs.. Oh  another tech gadget to learn about. I am 63  I learned how to do things on my computer years ago. I cant do anything about tvs  video player hook ups though. When I got this  I thought it would be one of the hard ones because you have to sinc up your iphone with it..ahhh..but actually  if you follow the simple directions it was easy. Yes I did have an issue connecting the two but it was a matter of being patient. I figured it would be difficult to use to print from the phone...boy was I wrong! After you install the hp socket app  you just click on it and your pictures are there. ...helpful hint  it might take a minute or two the first time you sink the two for the pictures to appear on your phone screen...just be patient  it does work. After that they come up very quickly. The unit is nice and small (fits in a shoe box even with cords)  and was packed very well. It comes with 10 picture papers and 1 ink cartridge. The ink is a nice small unit that pops right in! When you have your picture that you are ready to print  you just click on the printer icon that comes up under the picture...one word of caution here... only hit it ONCE!  This is when your patience is a virtue lol. I hit it once  then waited...nothing happened...hit it again..still nothing  hmm then the on light began to flash ( the pic info was coming thru) and the picture began its printing cycle. It prints one color comes out and is sucked back in for another color. It does this 4times  then the picture comes out  drops on the tray and is done! Easy peasy! Until the second picture began to print because remb  I hit the button twice lol because I didnt wait...I didnt know then  but now I do. The second time I printed a picture I hit the print icon and waited..the picture began its cycle. After all this I can honestly say this is the easiest gadget to set up and use! Since it didnt come with much paper  I ordered more. I compared prices on 4 different sites/stores and they were exactly the same as Amazon  34.99 for 80 picture papers and 2 ink cartridges...Im guessing 1 cartridge for every 40 pictures...makes each pic cost 43.73 cents per picture  which is a bit more than printing in stores but I think those machines are harder to use so to me  this is def. worth the money. I just started to check on some features on the app for adding to pictures. There are happy birthday banners you can add to the picture before it prints and a lace one  pumpkins etc. It also has holiday things to add too! I bet there are so many more features in the app to enhance the photos that I will find as I get better using it!  In closing as you might have guessed  I love this machine and find it was the easiest thing to learn about! Get one lol,1
choices of different games to play,fun and relaxing. This is LOTS OF FUN AND  RELAXING TO PLAY BEFORE SLEEP. I LIKE THE CHOICES OF DIFFERENT GAMES TO PLAY,1
not quite to my ankles,Love. This kimono thing looks really awesome. I really enjoyed the look of it. Super light  so it is great for warmer weather. It does come a little past my calves  but not quite to my ankles.,1
Crosswords Plus does nearly all of the same things,"Decent  But Expensive Not Fully Functional on New Kindle Fire HD 8.9"" Tablet. CROSSWORDS by Standalone is a decent crossword puzzle app  but inflexible and expensive.  On my Kindle Fire HD 8.9"" tablet  the working display shows about two-thirds of a weekday NY Times puzzle grid  and I can't find any way to resize the grid to show the whole puzzle at once. (You must swipe down or hit an arrow button to reveal the lower one-third of the grid.)  The Across and Down clues appear alongside the grid in a readable typeface  but the clues are cut off at the right.  (Perhaps this is an 8.9"" Kindle Fire HD issue that the developer will correct fortunately  clicking on a cut-off clue will display the full clue below the grid.)  The puzzle hints--found under the list icon beside the app icon  at the left--don't always work as expected.  For example  ""reveal entire puzzle"" only filled in one word (for the 1-down clue) when I started from the ""hints for 1-down"" screen.  In contrast  ""reveal entire puzzle"" filled in the entire puzzle when I started from a ""press-and-hold-on-clue"" popup.  Worse  the general settings for navigation (e.g.  ""skip filled squares""  ""show mistakes"") don't seem to function at all.  (Perhaps this is another Kindle Fire HD issue for the developer to fix.)  The app allows you to enter multiple letters in a single square  and to look up puzzle info (must-haves for NY Times crossword solvers).  If you are a NY Times crosswords subscriber  the app will automatically download the daily puzzles for you.  The app comes with an assortment of puzzles already installed  and allows you to browse for and download many more puzzles from the Internet.  It also allows you to establish an account and compare your times with other solvers.  However  the FREE [[ASIN:B005U6QIMI Crosswords Plus]] app does nearly all of the same things.  (Crosswords Plus does not download your NY Times subscription puzzles automatically  although it makes it easy to download them daily it doesn't come with puzzles loaded  although it points you to free Internet sources and it doesn't have a feature for comparing scores with other solvers.)  In addition  [[ASIN:B005U6QIMI Crosswords Plus]] allows you to resize the grid  offers an alternate clues-only view  includes the usual hints options  and has navigational settings (skipping boxes  etc.) that are fully functional on the Kindle Fire HD 8.9"" tablet.  Even if this CROSSWORDS app worked perfectly  I would still prefer [[ASIN:B005U6QIMI Crosswords Plus]].  For this reason  and because of the high price and current Kindle Fire HD 8.9"" tablet issues  I rate CROSSWORDS at 3 stars.",1
dried out,Good beef jerky  excellent lightly spiced  perfect for snacking. Great not-overly-spicy beef jerky. Perfect size for packing in my lunch bag for a mid afternoon snack. This is definitely one of my favorites. I did deduct a star because even though the flavor was great  I did find this pack a little on the dry side. I am going to order another package before month end and if I find the next package to be better  I will be adding to this review and changing it to a 5 star. My brother and nephew really love this jerky  too  and have been eating it for years  so I know it's got to be good!,0
light-handed treatments,Fantastic blend of complete menus  seasonality  and international flavors. My friend and James Beard Award-winning cookbook author Meike Peters recently released her latest cookbook “365: A Year of Everyday Cooking and Baking” and graciously sent a copy to me here in Japan  where I eagerly pored over the gorgeous food photography with its tantalizing  jewel-like salads.  Meike’s cooking is very much guided by the seasonal calendar  and in “365”  you’ll find a year’s worth of complete menus (including salads  soups  pasta  sandwiches  vegetables  seafood  meat and sweets) that make the most of seasonal produce  marrying them with a range of international influences including hearty German fare  Middle Eastern  and Mediterranean flavors and inspirations.  With the falling of the leaves and the arrivals of colder weather and flurries  the recipes featuring bright  sunny citrus are a welcome respite. Dishes like Winter Caprese with Blood Orange  Beet and Mozzarella di Bufala  Spaghetti with Ricotta  Orange and Crispy Sage Chocolate and Orange Pannetone  and Sicilian Orange Salad with Olive Oil  Marjoram  and Flaky Sea Salt are sure to stave off winter colds and chase the winter blahs away with the generous amount of vitamin C.  Others like Potato and apple-stuffed cabbage rolls with Walnut Butter and Gruyere  German beef  beet and potato stew  and Grilled Cheese Sandwich with Shallots and Apple  provide stick-to-your-ribs comfort.  The salads are a particular delight  including the rainbow potato salad with radishes  shallot vinaigrette and poached eggs  beet and apple carpaccio with pomegranate  raw asparagus and peach salad with orange blossom water and pecorino  and rainbow potato and cucumber salad with dill-pistachio pesto that will bring a splash of color (and flavor!) to overcast days.  Seasonal ingredients are given light-handed treatments that allow their individual textures and delicate flavors to shine  like fresh strawberries with saffron-vanilla sugar  watermelon caprese with mozzarella di bufala  basil and mint  and squash pasta with orange  maple and sage.  If you are someone who  like me  can never seem to come up with a complete menu  that’s one of the beauties of 365: You can also use the weekly menu planner to come up with a seasonal balanced meal by combining the various options for a given week.  I was absolutely intrigued by the idea of candied cherry tomatoes slow roasted and tossed with olive oil  confectioner’s sugar  and herbs  they dissolve into a silky confit that is the perfect complement for fresh pasta and tiny basil. Plus the leftover oil and tomatoes make a fantastic dipping oil!  Measurements and temperatures are provided in both US / Imperial and metric.  This has become one of my favorite cookbooks of the last several years highly recommended.,1
easy to clean,LOVE THESE-. So much better than what came with my keurig! Easy to use and clean. I like having several so I can get things ready for a couple days.,1
oily residue,Super oily and extremely sharp be careful.. At first I really didn't like how oily they were stacked together. I literally sliced my thumb open on the first one I was trying to take off the pile. I sliced my thumb again as I was trying to wipe the oily residue off before loading the rotary cutter. So use and clean with a lot of care. I was on a time crunch to complete a project and didn't have the time for the accidents my first attempt caused me. 😂  However  as long as you are careful and use cautious care they were a great buy for a little price. I will purchase these again when I finish using all that came in the pack.  I did ask a quilter friend that regularly uses her cuter and wheels why they needed to be so gross with oil. I was told that it has to do with how many come in the stack and to keep them very sharp while being tossed about during the moving  handling  and shipping. I don't know if her answer is the reason or not but it did make sense to me.  Just handle with extreme care always. Do not let young children use a rotary cutter. And don't let teens that can barely cut with scissors use either. (I'm not being funny with the teen part they will hurt themselves.) Take my word for it. I had teens helping with the project. Only responsible people should use these extremely helpful tool! This was the best tool (along with the self healing mat) I was ever gifted!,0
lots of action,Strong characters.. What a great book. I love reading the continuing story of Jordan and Eddie. This one really gets to the heart. Lots of action and when things get personal  both characters prove that they will do ANYTHING for each other and family even if it involves The Mob ! Definitely recommend this book to everyone !,1
high end gear reviews,Still not very good. I had a subscription to this magazine a few years ago. I let my sub run out because the magazine was not that good. I decided to give it another try and see if this magazine had improved. Nope  still the same old magazine. The gear reviews always seem to review the high end gear that only a small percentage of people can afford.   The articles are usually about hiking trails that are the top tier trails. PCT  AT  CDT  etc. How about some trails that are in different states that do not take MONTHS to finish! Some nice weekend trails would be awesome!! Seems like this magazine has always been biased towards the west coast. You know  there are many  many other trails in the US  across all 50 States!! Not just CA!  So  looks like this sub will be just like the first time I subbed. Going to let it expire. I can find better content on youtube anyways!,0
Great shampoo,Five Stars. Great shampoo that leaves my dogs clean and smelling good.,1
flavors didn’t come through as well,Too expensive for what you get. The sizes of the bars weren’t worth what was paid for. Some flavors didn’t come through as well as I’d expected.,0
softest skin,Softest skin I have had in years!. I have been using Pre de Provence soaps for years now. When I saw this one which includes shea butter  I couldn't wait to try it. After using this exclusively for almost a month  my skin feels  and looks  incredibly soft and smooth. I have terribly dry skin and always use a moisturizer after my shower  but now I have an additional aid to my dry skin in the shower. I love the fragrance  it is light and not overly strong. Pre de Provence makes quality products and I highly recommend them to everyone.,1
best one I've ever purchased,Very Nice. Great suction  best one I've ever purchased...,1
brings you back to when you first started watching the show,Nice. I really enjoyed doing this puzzle. The pieces fit together well and are not loose. The printing on the pieces are nice and clear So it makes it easier to see where fits in the picture. It brings you back to when you first started watching the show. This is a series of small scenes from the show and you can either put it together by scene or just the regular way. It does not have a poster. Good colors.,1
